latitude,longitude,elevation
-0.22488,51.57951,-5113.1
-0.21588,51.58223,-5113.3
-0.20972,51.58738,-5113.4
-0.20107,51.58912,-5112.2
-0.19022,51.58641,-5108.3
-0.22488,51.57951,-5113.1
-0.21588,51.58223,-5113.3
-0.20972,51.58738,-5113.4
-0.20107,51.58912,-5112.2
-0.19022,51.58641,-5108.3
-0.18135,51.585,-5106
-0.17347,51.58394,-5103
-0.16766,51.5868,-5101
-0.16082,51.58645,-5098.6
-0.15429,51.58608,-5096.9
-0.14753,51.58241,-5094.4
-0.13949,51.57505,-5091.7
-0.13261,51.57445,-5090.8
-0.12572,51.57447,-5090
-0.11875,51.57402,-5090
-0.11174,51.57308,-5090
-0.10551,51.56972,-5090.5
-0.09551,51.5736,-5093.2
-0.08585,51.57425,-5095.7
-0.08559,51.56153,-5094.8
-0.07315,51.56394,-5098.4
-0.06454,51.56669,-5100
-0.05395,51.57021,-5100.1
-0.04999,51.56734,-5100
-0.04771,51.56309,-5099.4
-0.04259,51.5608,-5098.5
-0.03844,51.55761,-5098
-0.03336,51.55474,-5097.1
-0.0295,51.55097,-5097
-0.0253,51.54717,-5096.2
-0.02166,51.54294,-5096.8
-0.02057,51.53943,-5097.1
-0.01824,51.53632,-5098.2
-0.00983,51.53483,-5098.7
-0.0031,51.53244,-5099
0.00521,51.53003,-5099.5
0.01702,51.5278,-5101
0.02799,51.52475,-5102.5
0.046,51.52194,-5105
0.04369,51.51619,-5105.5
0.05835,51.51166,-5106.1
0.05988,51.51003,-5106
0.06769,51.50865,-5111.4
0.0711,51.50698,-5111.1
0.0713,51.50516,-5109.4
0.07056,51.50332,-5107.7
0.07202,51.50151,-5107.5
0.0711,51.49968,-5106.3
0.06176,51.49794,-5100.3
0.06225,51.49619,-5101.3
0.06274,51.49443,-5100.6
0.04334,51.49189,-5107.7
0.04374,51.48881,-5106.6
0.04361,51.48574,-5105.6
0.04492,51.48254,-5104.7
0.04096,51.47987,-5104.7
0.0555,51.47494,-5106
0.05487,51.47171,-5105.3
0.07334,51.46535,-5106.3
0.0733,51.46169,-5106.9
0.07287,51.45809,-5105.9
0.06923,51.45468,-5106
0.06676,51.45111,-5107.4
0.06296,51.44795,-5106.7
0.04901,51.44775,-5107.6
0.04546,51.44495,-5107.5
0.04165,51.44235,-5106.9
0.03938,51.43932,-5105.6
0.03299,51.43786,-5105
0.02928,51.43558,-5102.5
0.01837,51.43637,-5105.6
0.00803,51.4316,-5105.6
-0.00069,51.42682,-5104.3
-0.01005,51.4231,-5104.2
-0.01822,51.41934,-5101.2
-0.02733,51.4169,-5103.4
-0.0368,51.41556,-5103.7
-0.05122,51.41984,-5102.7
-0.05784,51.41794,-5103.4
-0.06641,51.41886,-5106.7
-0.07301,51.41827,-5103.1
-0.08004,51.41637,-5098.9
-0.08798,51.41667,-5096.7
-0.09587,51.41816,-5095.1
-0.10265,51.41864,-5093.7
-0.10788,51.41568,-5093.8
-0.1144,51.41715,-5092.2
-0.12111,51.42187,-5089.9
-0.12634,51.42075,-5089.3
-0.1318,51.42294,-5087.5
-0.13699,51.42238,-5086.4
-0.14199,51.43182,-5083.5
-0.1462,51.43788,-5082
-0.15094,51.43861,-5081.8
-0.15484,51.44204,-5080.8
-0.15921,51.44359,-5080
-0.1633,51.44576,-5079.5
-0.16686,51.44878,-5079
-0.17076,51.45115,-5079
-0.18246,51.44444,-5080
-0.19989,51.4347,-5083.8
-0.20493,51.43693,-5085.2
-0.20994,51.43949,-5086.9
-0.22026,51.43854,-5093.3
-0.23373,51.43674,-5102.1
-0.25124,51.4342,-5114.3
-0.25991,51.43807,-5115.3
-0.27111,51.44157,-5109.7
-0.2952,51.44142,-5100.3
-0.30132,51.44933,-5095.2
-0.30671,51.45781,-5091.1
-0.31316,51.46047,-5089
-0.31985,51.46335,-5087.9
-0.32476,51.4668,-5087
-0.31907,51.47205,-5086.9
-0.31529,51.47675,-5086.9
-0.31436,51.48097,-5086.2
-0.3139,51.48509,-5086
-0.32183,51.48867,-5084.8
-0.32969,51.49261,-5084
-0.33272,51.49696,-5083
-0.33862,51.5013,-5082
-0.34398,51.50588,-5081.9
-0.34385,51.51041,-5082.3
-0.34942,51.51537,-5082
-0.3494,51.52005,-5082.9
-0.34854,51.52466,-5084
-0.34509,51.52888,-5084.4
-0.3402,51.53276,-5085
-0.33867,51.53706,-5086
-0.34304,51.54255,-5086
-0.3262,51.54279,-5086
-0.32693,51.54672,-5086.6
-0.33205,51.55188,-5087
-0.33601,51.55695,-5087.5
-0.33805,51.56164,-5088
-0.33949,51.56626,-5088
-0.33971,51.57057,-5088
-0.33645,51.57366,-5088
-0.32503,51.57349,-5088
-0.31594,51.57385,-5088
-0.29478,51.57155,-5091
-0.28781,51.57472,-5093
-0.27671,51.5753,-5095.3
-0.27205,51.57888,-5096.9
-0.24918,51.57087,-5106.3
-0.24496,51.57351,-5107.5
-0.23984,51.57532,-5108.7
-0.23501,51.5771,-5110.4
-0.22938,51.57797,-5112.5
